"SCCS ID","SCCS Name","SCCS Date","SCCS Note","EA ID","EA Name","EA Date","EA Note","EA Summary ID","EA Summary Name","EA Summary Date","EA Summary Note","AWC ID","AWC Name","AWC Date","AWC Note","SRS","PSF Cluster No","PSF Cluster Name","SES Name","WES Name","Fiche ID","Fiche Name","Fiche Source","Fiche Note","eHRAF ID","eHRAF Name","eHRAF Source","Culture Name","Start Date","End Date","Community Name","District Name","Focus Note","Region Code","Culture Area","Countries","Population (in thousands)","Population Year","Population Note","Language Name","Language Code","Language Note","Ethnonyms"
"None","None","None","None","Aj10","Acholi","1920","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Acholi","1920","1920","None","None","None","AF","East Africa","Sudan; Uganda","200.0","0","None","Acholi","ACO","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Acholi","None","None","None","None","None","None","None","Acholi","9999","9999","None","None","None","AF","East Africa","Sudan; Uganda","0.0","0","None","Acholi","ACO","None",""
"None","None","None","None","Af35","Adangme","1940","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Adangme","1940","1940","None","Krobo","None","AF","West Africa","Ghana","100.0","1940","None","Ga-Adangme-Krobo","GAC","None",""
"None","None","None","None","Ca06","Afar","1880","None","Ca06","Afar","1880","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Afar","1880","1880","None","None","None","AF","East Africa","Ethiopia","110.0","1950","None","Afar","AFR","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Afar","None","None","None","None","None","None","None","Afar","9999","9999","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Afar","AFR","None",""
"None","None","None","None","Af27","Afo","1950","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Afo","1950","1950","None","None","None","AF","West Africa","Nigeria","7.6","1955","None","Eloyi","AFO","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","6","Guinea Coast","None","Ashanti","FE12","Twi","19,23","None","FE12","Akan","http://ehrafworldcultures.yale.edu/document?id=fe12-019
http://ehrafworldcultures.yale.edu/document?id=fe12-023
","Akyem","9999","9999","None","None","None","AF","West Africa","Ghana","0.0","0","None","Akan","TWS","None","Akim,Akwampim,Akyem,Asante,Asen-Twifo,Ashanti,Fante,Fanti,Kwahu"
"None","None","None","None","Af12","Akyem","1930","None","None","None","None","None","None","None","None","None","0","6","Guinea Coast","None","None","FE12","Twi","22(partial)","None","FE12","Akan","http://ehrafworldcultures.yale.edu/document?id=fe12-022 (partial)
","Akyem","1930","1930","None","None","Special reference is made to the Kwahu (Akwahu) people.","AF","West Africa","Ghana","0.0","0","None","Akan","TWS","None","Akim,Akwampim,Akyem,Asante,Asen-Twifo,Ashanti,Fante,Fanti,Kwahu"
"None","None","None","None","Af44","Alagya","1900","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Alagya","1900","1900","None","None","None","AF","West Africa","Cote d'Ivoire","5.0","1950","None","Aladian","ALD","None",""
"None","None","None","None","Cd12","Algerians","1870","None","Cd12","Algerians","1870","None","C07c","Algerians","1870","None","0","None","None","None","None","None","None","None","None","None","None","None","Algerians","1870","1870","None","None","None","AF","None","Algeria","0.0","0","None","Arabic, Western Colloquial","ARQ","None",""
"None","None","None","None","Aj17","Alur","1890","None","Aj17","Alur","1890","None","A24c","Alur","1956","None","0","None","None","Alur","None","None","None","None","None","None","None","None","Alur","1890","1890","None","None","None","AF","None","Congo, Democratic Republic of the; Uganda","200.0","0","None","Alur","ALZ","None",""
"None","None","None","None","Ca35","Amarar","1930","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Amarar","1930","1930","None","None","None","AF","East Africa","Sudan","40.0","1935","None","Beja","BEI","None",""
"None","None","None","None","Ae01","Amba","1950","None","Ae01","Amba","1950","None","A10d","Amba","1950","None","0","None","None","None","None","None","None","None","None","None","None","None","Amba","1950","1950","None","None","Special reference is made to Bwamba.","AF","East Africa","Congo, Democratic Republic of the; Uganda","18.0","0","This figure represents the number in Bwamba, Uganda.","Amba","RWM","None",""
"None","None","None","None","Ab19","Ambo","1910","None","Ab19","Ambo","1910","None","A04c","Ambo","1910","None","1","None","None","Ambo","None","None","None","None","None","FX08","Ovambo","http://ehrafworldcultures.yale.edu/document?id=fx08-005
http://ehrafworldcultures.yale.edu/document?id=fx08-013
","Ambo","1910","1910","None","None","Special reference is made to the Kuanyama.","AF","None","Angola; Namibia","60.0","1948","None","Ndonga","NDG","None","Aawambo,Ambo,Dombondola,Eunda,Evale,Kafima,Kolonkadhi,Kuanyama,Kwaluudhi,Kwambi,Kwanyama,Mbadja,Mbalanhu,Ndonga,Ngandjera,Ombandja,Ondonga,Oshiwambo-speakers,Ovambo,Ovamboland,Ovawambo,Owambo,Ukuambi"
"37","Amhara","1953","None","Ca07","Amhara","1950","Should be taken only as a general match in time; listed sources do  not match","Ca07","Amhara","1950","Should be taken as only a very general match in time; listed sourcesdo not match","C02a","Amhara","1953","None","0","17","Sedentary Semites","None","None","MP05","Amhara","1","None","MP05","Amhara","http://ehrafworldcultures.yale.edu/document?id=mp05-020
","Amhara","1953","1953","None","None","The spatio-temporal focus for this entry is the Gondar district ì in +1953.","AF","East Africa","Ethiopia","22.0","1953","None","Amharic","AMH","None","Amara,Amhara (African people),Argobba"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","12","None","MP05","Amhara","http://ehrafworldcultures.yale.edu/document?id=mp05-012
http://ehrafworldcultures.yale.edu/document?id=mp05-017
http://ehrafworldcultures.yale.edu/document?id=mp05-018
","Amhara","1966","1966","None","None","Special attention is given to the Begemder highlands.","AF","East Africa","Ethiopia","0.0","1966","Reliable data on the population of the region are lacking.","Amharic","AMH","None","Amara,Amhara (African people),Argobba"
"None","None","None","None","Ca07","Amhara","1950","None","Ca07","Amhara","1950","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Amhara","1950","1950","None","None","None","AF","East Africa","Ethiopia","2000.0","0","None","Amharic","AMH","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","3","None","MP05","Amhara","http://ehrafworldcultures.yale.edu/document?id=mp05-003
","Amhara","1946","1946","None","None","Spatio-temporal focus is on the area surrounding the city of ì Debra Berhan in +1946.","AF","East Africa","Ethiopia","15.5","1946","None","Amharic","AMH","None","Amara,Amhara (African people),Argobba"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","8","None","None","None","None","Amhara","1910","1910","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","5","None","None","None","None","Amhara","1768","1768","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","2","None","None","None","None","Amhara","1941","1941","None","None","The highland region of Ethiopia receives special attention. There ì is also scattered information on Amhara of other areas contained ì in the source.","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","11","None","MP05","Amhara","http://ehrafworldcultures.yale.edu/document?id=mp05-011
","Amhara","1958","1958","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None","Amara,Amhara (African people),Argobba"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","6, 7, 9, 10","None","MP05","Amhara","http://ehrafworldcultures.yale.edu/document?id=mp05-006
http://ehrafworldcultures.yale.edu/document?id=mp05-007
","Amhara","9999","9999","None","None","This entry is based on one source in the HRAF archive dealing ì with the government of Ethiopia and its political divisions, and ì on three smaller sources. The first contains a collection of ì folktales from Amhara peasants and nobles collected in 1953-54. ì The second is a brief description of medical problems and ì diseases in Ethiopia during 1944-45. This treatment tends toward ì generality and is less temporally specific than one would expect. ì The third is an essay on the physical and racial characteristics ì of the Amhara. Together, these sources give an introduction to ì some important cultural artifacts and assess medical problems ì during one time period.","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None","Amara,Amhara (African people),Argobba"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MP05","Amhara","4","None","None","None","None","Amhara","1520","1520","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Amhara","None","None","None","None","None","None","None","Amhara","9999","9999","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Amharic","AMH","None",""
"None","None","None","None","Ah09","Anaguta","1920","None","Ah09","Anaguta","1920","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Anaguta","1920","1920","None","None","None","AF","West Africa","Nigeria","5.7","1934","None","Naraguta","NAR","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Ancient Egyptians","None","None","None","None","None","None","None","Ancient Egyptians","9999","9999","None","None","None","AF","None","Egypt","0.0","0","None","Not found","000","None",""
"None","None","None","None","Ca27","Anfillo","1930","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Anfillo","1930","1930","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Anfillo","MYE","None",""
"None","None","None","None","Ah16","Angas","1900","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Angas","1900","1900","None","None","None","AF","West Africa","Nigeria","55.0","1930","None","Angas","ANC","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Antandroy","None","None","None","None","None","None","None","Antandroy","9999","9999","None","None","None","AF","None","Madagascar","0.0","0","None","Malagasy","MEX","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","Antesaka (Antaisaka)","None","None","None","None","None","None","None","None","Antesaka","9999","9999","None","None","None","AF","None","Madagascar","0.0","0","None","Malagasy","MEX","None",""
"None","None","None","None","Cc05","Antessar","1910","None","Cc05","Antessar","1910","None","C05c","Antessar Tuareg","1910","None","0","None","None","None","None","None","None","None","None","None","None","None","Antessar","1910","1910","None","None","None","AF","West Africa","Mali","10.0","1941","None","Tamashek, Timbuktu?","TAQ","Somewhat inconsistent with location, but references refer to Timbuktu.",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Tuareg(Antessar)","None","None","None","None","None","None","None","Antessar","9999","9999","None","None","None","AF","West Africa","Niger","0.0","0","None","Tamashek, Timbuktu","TAQ","None",""
"None","None","None","None","Ai44","Anuak","1920","None","Ai44","Anuak","1920","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Anuak","1920","1920","None","None","None","AF","East Africa","Ethiopia; Sudan","35.0","1957","None","Anuak","ANU","None",""
"None","None","None","None","Af39","Anyi","1900","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Anyi","1900","1900","None","Ndenie","None","AF","West Africa","Cote d'Ivoire","100.0","1956","None","Anyin","ANY","None",""
"None","None","None","None","Ca18","Arbore","1940","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Arbore","1940","1940","None","None","None","AF","East Africa","Ethiopia","1.5","1950","None","Arbore","ARV","None",""
"None","None","None","None","Ca11","Arusi","1890","None","Ca11","Arusi","1890","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Arusi","1890","1890","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Oromo, Burana-Arusi-Guji","GAX","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","C01c","Arusi Galla","1955","None","0","None","None","None","None","None","None","None","None","None","None","None","Arusi","1955","1955","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Oromo, Borana-Arusi-Guji","GAX","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","Galla","None","None","None","None","None","None","None","None","Arusi","9999","9999","None","None","None","AF","East Africa","Ethiopia","0.0","0","None","Oromo, Borana-Arusi-Guji","GAX","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","MS25","Tuareg","5,7","None","MS25","Tuareg","http://ehrafworldcultures.yale.edu/document?id=ms25-005
http://ehrafworldcultures.yale.edu/document?id=ms25-007
","Asben","1951","1951","None","None","None","AF","West Africa","Niger","28.0","1944","None","Tamasheq","TAQ","None","Adjeur,Ahaggar,Ahaggaren,Air,Ajjer,Antessar,Asben,Aulliminden,Azjer,Hoggar,Ifora,Iguaren,Igwadaren,Ihaggaren,Imedreden,Irreganaten,Kel Ahaggar,Kel Air,Kel Antessar,Kel Azdjer,Kel Tademeket,Kel Tagelmust,Kel Tamacheq,Oulliminden,Tadmekket,Tamacheq,Targui,Tawarik,Tengeredief,Tuaregs,Udalan,Wadalen"
"None","None","None","None","Cc10","Asben","1900","None","Cc10","Asben","1900","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Asben","1900","1900","None","None","None","AF","West Africa","Niger","0.0","0","None","Tamasheq","TAQ","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","6","Coast","None","None","FE12","Twi","4(partial),5,9,12(partial),13,14,15,17,25","None","FE12","Akan","http://ehrafworldcultures.yale.edu/document?id=fe12-004 (partial)
http://ehrafworldcultures.yale.edu/document?id=fe12-005
http://ehrafworldcultures.yale.edu/document?id=fe12-009
http://ehrafworldcultures.yale.edu/document?id=fe12-013
http://ehrafworldcultures.yale.edu/document?id=fe12-014
http://ehrafworldcultures.yale.edu/document?id=fe12-025
","Ashanti","9999","9999","None","None","None","AF","West Africa","Ghana","0.0","0","None","Akan","TWS","None","Akim,Akwampim,Akyem,Asante,Asen-Twifo,Ashanti,Fante,Fanti,Kwahu"
"19","Ashanti","1895","None","Af03","Ashanti","1900","None","Af03","Ashanti","1900","None","A15a","Ashanti","1895","None","0","6","Guinea Coast","Twi (Asharik)","None","FE12","Twi","1,2,3,5(caution),8","None","FE12","Akan","http://ehrafworldcultures.yale.edu/document?id=fe12-001
http://ehrafworldcultures.yale.edu/document?id=fe12-002
http://ehrafworldcultures.yale.edu/document?id=fe12-003
http://ehrafworldcultures.yale.edu/document?id=fe12-005 (caution)
http://ehrafworldcultures.yale.edu/document?id=fe12-008
","Ashanti","1895","1895","None","Kumasi State","None","AF","West Africa","Ghana","0.0","0","None","Akan","TWS","None","Akim,Akwampim,Akyem,Asante,Asen-Twifo,Ashanti,Fante,Fanti,Kwahu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","6","Guinea Coast","None","None","FE12","Twi","6,7,8,27(partial)","None","FE12","Akan","http://ehrafworldcultures.yale.edu/document?id=fe12-006
http://ehrafworldcultures.yale.edu/document?id=fe12-007
http://ehrafworldcultures.yale.edu/document?id=fe12-008
http://ehrafworldcultures.yale.edu/document?id=fe12-027 (partial)
","Ashanti","1941","1941","None","None","None","AF","West Africa","Ghana","580.7","1948","The exact figure is 580,369 (16:8).","Akan","TWS","None","Akim,Akwampim,Akyem,Asante,Asen-Twifo,Ashanti,Fante,Fanti,Kwahu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","6","Guinea Coast","None","None","FE12","Twi","1,2,3","None","FE12","Akan","http://ehrafworldcultures.yale.edu/document?id=fe12-001
http://ehrafworldcultures.yale.edu/document?id=fe12-002
http://ehrafworldcultures.yale.edu/document?id=fe12-003
","Ashanti","1920","1920","None","None","None","AF","West Africa","Ghana","0.0","0","None","Akan","TWS","None","Akim,Akwampim,Akyem,Asante,Asen-Twifo,Ashanti,Fante,Fanti,Kwahu"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Ashanti","None","None","None","None","None","None","None","Ashanti","9999","9999","None","None","None","AF","West Africa","Ghana","0.0","0","None","Akan","TWS","None",""
"None","None","None","None","Af40","Assini","1890","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Assini","1890","1890","None","Abure","None","AF","West Africa","Cote d'Ivoire","2.0","1950","None","Abure","ABU","None",""
"None","None","None","None","Af41","Attie","1890","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Attie","1890","1890","None","None","None","AF","West Africa","Cote d'Ivoire","60.0","1955","None","Attie","ATI","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","None","FX10","San","2","None","FX10","San","http://ehrafworldcultures.yale.edu/document?id=fx10-002
","Auen","1908","1908","None","None","None","AF","None","Namibia","3.0","1908","See 2:4.","Kung-Gobabis","AUE","None","Auen,Basarwa,Bojesman,Buchman,Bushmen,Gǀwi,Gǁana,Haiǁom,Heikum,Hiechware,Hukwe,Kung,Kxoe,Makwengo,Masarwa,Naro,Naron,Nharo,Nusan,San (African people),Sangua,Sarwa,Soaqua,Tannekwe,Tserekwe,Xam,Zhuǀóasi,ǃKoó,ǃKung,ǃXoó,ǃXu"
"None","None","None","None","Cc08","Aulliminden","1890","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Aulliminden","1890","1890","None","None","None","AF","None","Benin","7.0","1909","None","Tamasheq, ?","999","One of the Tamasheq or Tamajeq languages",""
"None","None","None","None","Af45","Avikam","1900","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Avikam","1900","1900","None","None","None","AF","West Africa","Cote d'Ivoire","5.0","1950","None","Avikam","AVI","None",""
"None","None","None","None","Ag37","Awuna","1910","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Awuna","1910","1910","None","None","None","AF","West Africa","Ghana","0.0","0","None","Ewe","EWE","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Awuna","None","None","None","None","None","None","None","Awuna","9999","9999","None","None","None","AF","West Africa","Ghana","0.0","0","None","Ewe","EWE","None",""
"None","None","None","None","Ai03","Azande","1920","None","Ai03","Azande","1920","None","None","None","None","None","0","5","Equatorial Africa","Zande","None","FO07","Azande","1,2,5,6,7,8,11,13,19,21,32,34,35,47,57,58,59,63,64,65,66,67,68","None","FO07","Azande","http://ehrafworldcultures.yale.edu/document?id=fo07-005
http://ehrafworldcultures.yale.edu/document?id=fo07-006
http://ehrafworldcultures.yale.edu/document?id=fo07-007
http://ehrafworldcultures.yale.edu/document?id=fo07-008
http://ehrafworldcultures.yale.edu/document?id=fo07-009
http://ehrafworldcultures.yale.edu/document?id=fo07-010
http://ehrafworldcultures.yale.edu/document?id=fo07-013
http://ehrafworldcultures.yale.edu/document?id=fo07-021
http://ehrafworldcultures.yale.edu/document?id=fo07-034
http://ehrafworldcultures.yale.edu/document?id=fo07-035
http://ehrafworldcultures.yale.edu/document?id=fo07-057
http://ehrafworldcultures.yale.edu/document?id=fo07-058
http://ehrafworldcultures.yale.edu/document?id=fo07-059
http://ehrafworldcultures.yale.edu/document?id=fo07-063
","Azande","1920","1920","None","None","EA-Summary also lists sources 3 (no field-date) and 60 (field ì date 1948-1953), but these do not reflect its temporal focus of ì 1920.","AF","East Africa","Sudan","2000.0","1926","None","Zande","ZAN","dk","Niam-Niam,Nzakara,Sande,Zande (African people),Zande (Azande)"
"28","Azande or Niam-Niam","1905","Provinces 33 and 34 have been combined.","None","None","None","None","None","None","None","None","A21a","Azande","1905","None","0","5","Equatorial Africa","Zande","None","FO07","Azande","2,35,56,64,65,66,67,68","None","FO07","Azande","http://ehrafworldcultures.yale.edu/document?id=fo07-035
http://ehrafworldcultures.yale.edu/document?id=fo07-056
http://ehrafworldcultures.yale.edu/document?id=fo07-064
http://ehrafworldcultures.yale.edu/document?id=fo07-065
http://ehrafworldcultures.yale.edu/document?id=fo07-066
http://ehrafworldcultures.yale.edu/document?id=fo07-067
http://ehrafworldcultures.yale.edu/document?id=fo07-068
","Azande","1905","1905","None","Yambio Chiefdom","Though 1905 is specified as the temporal focus of AWC and ì SCCS-186, there is some question as to the relationship between ì the sources cited and this date. Caution is advised. HRAF 65 ì describes the period extending from 1865-1905.","AF","East Africa","Sudan","2000.0","0","See 65:217.","Zande","ZAN","None","Niam-Niam,Nzakara,Sande,Zande (African people),Zande (Azande)"
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Azande","None","None","None","None","None","None","None","Azande","9999","9999","None","None","None","AF","None","Congo, Democratic Republic of the; Central African Republic; Sudan","0.0","0","None","Zande","ZAN","None",""
"None","None","None","None","Cc11","Azjer","1860","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Azjer","1860","1860","None","None","None","AF","None","Algeria; Libya; Niger","2.0","1944","None","Tamahaq, Hoggar","THV","None",""
"None","None","None","None","Ae33","Ndaka","1920","None","None","None","None","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Babali","1920","1920","None","None","None","AF","None","Congo, Democratic Republic of the","300.0","0","None","Baali","BCP","None",""
"None","None","None","None","Ae07","Babwa","1910","None","Ae07","Babwa","1910","None","None","None","None","None","0","None","None","None","None","None","None","None","None","None","None","None","Babwa","1910","1910","None","None","None","AF","None","Congo, Democratic Republic of the","16.0","1924","None","Not Found","000","None",""
"None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","0","None","None","None","Babwa","None","None","None","None","None","None","None","Babwa","9999","9999","None","None","None","AF","None","Congo, Democratic Republic of the","0.0","0","None","Not Found","000","None",""
